Title,Authors,Published Year,Library,Publication,Thematic Group,Musical Group,Musical Sub-Group,Review/Theoretical,Human Subject Method,Visually Disabled
Photone: Exploring modal synergy in photographic images and music,"Rönnberg, Niklas; Löwgren, Jonas",2018,Georgia tech,ICAD,vision,theoretical,one(both)-two,,,
A perspective on the limited potential for simultaneity in auditory display,"Gossmann, Joachim",2012,Georgia tech,ICAD,design,non-specified,,theoretical,,
Design and Evaluation of Lyricons (Lyrics + Earcons) for Semantic and Aesthetic Improvements of Auditory Cues,"Jeon, Myounghoon; Sun, Yuanjing",2014,Georgia tech,ICAD,design,theoretical,zero,,x,
Sonification with musical characteristics: a path guided by user engagement,"Middleton, Jonathan; Hakulinen, Jaakko; Tiitinen, Katariina; Hella, Juhu; Keskinen, Tuuli; Huuskonen, Pertti; Linna, Juhani; Turunen, Markku; Ziat, Mounia; Raisamo, Roope",2018,Georgia tech,ICAD,design,theoretical,zero-one(par),,x,
An audio game app using interactive Movement sonification for Targeted posture control,"Avissar, Daniel; Leider, Colby; Bennett, Hristopher; Gailey, Robert",2013,Georgia tech,ICAD,movement,theoretical,zero,,,
Evaluating the use of sonification and music to support the communication of alcohol health risk to young people: Initial results,"Walus, Bartlomiej P.; Pauletto, Sandra; Mason-Jones, Amanda",2015,Georgia tech,ICAD,medicine-vision,theoretical-experiential,zero-one(both)-by practice-comp,,x,
Rhetorical Schemes for Audio Communication,"Polotti, Pietro; Benzi, Carlo",2008,Georgia tech,ICAD,design,theoretical,one(par),,x,
Speech companions: Evaluating the effects of musically modulated auditory feedback on the voice,"Kleinberger, Rebecca; George, Stefanakis; Franjou, Sebastian",2019,Georgia tech,ICAD,emotion,theoretical,one(ver)-two,,x,
Sonification Mapping Configurations: Pairings Of Real-Time Exhibits And Sound,"Henry, Ashley G.; Bruce, Carrie M.; Winton, Riley J.; Walker, Bruce N.",2013,Georgia tech,ICAD,design-vision,experiential,by practice-comp,,x,
"The design of a smart city sonification system using a conceptual blending and musical framework, web audio and deep learning techniques","Roddy, Stephen; Bridges, Brian",2021,Georgia tech,ICAD,space,theoretical,two,,,
madBPM: Musical and Auditory Display for Biological Predictive Modeling,"Fox, K. Michael; Stewart, Jeremy; Hamilton, Rob",2017,Georgia tech,ICAD,art-nature-vision,non-specified,,,,
Tempo-Fit Heart Rate App: Using Heart Rate Sonification As Exercise Performance Feedback,"Landry, Steven; Sun, Yuangjing; Slade, Darnishia; Jeon, Myounghoon",2016,Georgia tech,ICAD,medicine-movement,theoretical,zero,,x,
Sonification of Brain and Body Signals in Collaborative Tasks Using a Tabletop Musical Interface,"Mealla, Sebastian; Bosi, Mathieu; Jorda, Sergi; Valjamae, Aleksander",2011,Georgia tech,ICAD,art-nature-vision,theoretical,zero-one(par),,x,
